0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147
69304.8328822652,69299.98404383467,69315.96181582949,69322.70831736426,69306.23955204958,69298.38142375725,69313.35038701896,69325.27504268587,69311.91316985048,69301.17315663972,69313.8115780129,69329.35796133972,69319.46135395304,69305.91247152239,69315.07892192352,69332.67570527502,69327.01326334634,69311.53766054365,69316.58915479053,69335.30203524852,69334.58230907706,69318.33184579991,69319.27955976481,69337.96114778056,69341.92932747952,69325.70494123758,69322.4080589304,69340.0920140853,69349.45366972132,69335.16717972363,69328.23143341915,69344.10936762205,69357.68805237867,69345.72614380434,69335.1925117007,69347.69235225825,69363.62542076413,69354.19521977844,69340.19110681905,69348.46050720937,69365.88145683783,69359.66469164666,69341.77957079167,69343.7338583152,69359.2631053046,69354.85236106542,69332.7613869621,69326.49246770055,69337.67653556782,69334.16656663019,69308.03588724564,69292.9775170061,69299.03036940459,69297.51790136311,69271.1264516266,69250.88322173156,69253.44398658798,69254.47514706552,69229.4076656589,69204.25897291409,69202.37248568208,69205.31621042683,69182.9950133556,69154.62394411849,69148.4869001492,69153.0637923555,69134.99613225413,69104.99189555549,69094.930630318,69100.22426846316,69087.29378429578,69057.61364789172,69044.87687884293,69051.77015683295,69047.27149573225,69022.65849979622,69010.78972349044,69021.71600123835,69027.6608202053,69010.56993133663,69000.88045011525,69015.56629128054,69030.5464304145,69020.26164773246,69010.6876505241,69025.18648209411,69045.91996025086,69042.52845555884,69033.06025660757,69046.18669106801,69070.62012799026,69073.51691407168,69064.01071715484,69074.04665041526,69100.03204346084,69108.79318222919,69099.95008706451,69106.6444345289,69132.63206274892,69146.82616553619,69139.42252271445,69142.70524891677,69168.10726143209,69187.50336021226,69181.18899240364,69179.26599732232,69200.41298275148,69222.10162545461,69217.86820505478,69212.12306167162,69229.16552176065,69252.50148803013,69251.3384522603,69242.3195233726,69254.43640404181,69277.70978542682,69279.06430114081,69266.27537802163,69271.62340541164,69292.73984345673,69297.16623391703,69282.56383926437,69282.35000757575,69301.54941100471,69309.54015964748,69294.4855146987,69288.83648381667,69304.94315087116,69316.14062978514,69302.15514327945,69291.56339664022,69304.02523923221,69317.87959550376,69306.22167065403,69292.17508938017,69300.88332901995,69317.04513037745,69309.38816778518,69292.98645770388,69297.51119583978,69314.43295650874,69310.48191314719,69291.78318879403,69290.94499837696,69307.13511194408,69307.8324863711,69289.14419283203,1.0
69373.10181535505,69390.8386696385,69387.06718529074,69369.78034612899,69371.38371126459,69389.230834154,69390.29850248083,69372.65105517523,69369.74607345417,69386.66485389054,69392.80189785983,69376.15506364765,69369.25880542502,69384.8074239263,69395.86334179204,69381.57387156175,69371.21160283228,69384.56900531876,69399.56181044123,69388.73164519448,69375.66556044407,69385.61283178483,69402.93468867954,69395.91028045538,69380.24245265039,69385.66573091337,69403.83322880664,69401.29481569468,69383.99009513739,69384.84318671744,69402.75438460762,69404.9858337624,69387.6289591347,69384.03256345185,69400.77178487442,69407.67772885296,69391.55690569364,69384.27098205936,69399.27496305406,69410.49628382878,69396.19116737737,69385.04137218492,69397.0084961663,69411.08189953351,69399.26825753073,69383.98487973033,69391.5040065651,69407.11744512529,69398.69605287269,69380.70885905133,69383.59148902792,69400.02300143517,69396.71717843022,69378.40066890724,69377.31735435931,69393.89117287293,69395.44908946144,69376.80922470201,69371.83968685147,69387.80255768332,69394.83292637265,69378.06166744969,69369.48604816032,69383.90217827585,69395.5295557415,69381.61559481807,69369.30052868134,69380.47789102528,69395.50198859,69384.86255822927,69369.6238839178,69376.95302092469,69393.39049379712,69386.67155941385,69369.57769031258,69372.91331564347,69390.30148271339,69388.62361176295,69370.95306765474,69370.35851125223,69387.92102192891,69391.33711353982,69373.6390022801,69368.35281471645,69384.74036869292,69393.21167984148,69377.42389767455,69368.53982431171,69382.60503203931,69394.7017961385,69380.86234102992,69368.01828360774,69378.33957413907,69393.04255164177,69382.53723174777,69366.73529347603,69373.48179501078,69390.15172602555,69383.95656752068,69366.76733097639,69369.85634206011,69387.50751465646,69386.57693702898,69368.60836966136,69367.03182661912,69384.26427653602,69388.38817338803,69371.04023945809,69365.62739200918,69381.69904133069,69390.64271934541,69375.17531218233,69365.80024549963,69379.4765328737,69392.33996180771,69379.25301542915,69366.3649995762,69376.85094795833,69392.3459222729,69382.86803756571,69367.35890714632,69373.9273397836,69391.2521769109,69386.21260359438,69368.88553129263,69371.26152172821,69389.12578095504,69389.09895886171,69371.16242899446,69369.00101530564,69385.98461580092,69390.72691091617,69373.4117595448,69367.4416086008,69383.55796141124,69393.08874524696,69377.48871773346,69367.11378301546,69379.56593985151,69392.1335807006,69378.80374536559,69364.18719460811,69372.50353366179,69386.7214783098,69376.1960418458,69358.10155965108,69361.57502073943,0.0
69039.59888691889,69042.83690963231,69059.62008948564,69057.58906097281,69040.10701657616,69039.48265784772,69056.54746968119,69059.89874123319,69043.32566777772,69039.13397063423,69055.32259408504,69063.65830465057,69048.48072510726,69040.3946090215,69054.58722169245,69066.94475614365,69054.11858011705,69042.1209087516,69053.27219406034,69068.42667680103,69058.10464121158,69042.37497358024,69048.31532219832,69062.84246597796,69054.41287808573,69034.08843685251,69032.55361706657,69044.90668116888,69037.23109212292,69012.12859298332,69002.8854015929,69011.36714355554,69006.31862954125,68979.58370799824,68963.5314301886,68968.53524071399,68966.42672615369,68939.65455170328,68918.85923372021,68920.85971484895,68921.60253782303,68896.59540612642,68871.81477210698,68869.98341917794,68873.4293131148,68852.25401547599,68825.09962619538,68819.96766566846,68825.37902300108,68808.837987046,68780.71353205603,68771.50237816601,68777.76906225312,68767.20860805614,68739.64890714275,68728.07591892195,68735.71127482787,68731.5218128588,68706.7419238975,68693.09618390755,68701.29405871559,68704.12825991251,68683.20926227681,68668.27531674807,68676.9194813871,68685.92127393739,68670.33763770314,68654.95889245975,68662.70451697164,68676.8062325485,68667.66734929888,68652.60599882674,68659.66169949312,68678.3790503,68676.44934969537,68662.33273295553,68667.11377109453,68687.69600244712,68691.54497284233,68677.73979040858,68679.28578606676,68701.09736336439,68711.94242977409,68700.70993312716,68699.55807322956,68720.75497755466,68737.81159374853,68730.85871110663,68728.74423608114,68749.97764825555,68772.83677730999,68770.54125315444,68766.57530862992,68785.3358728094,68811.37192980909,68813.66372867391,68807.52817482094,68822.0262613328,68848.27987531185,68853.97360968277,68845.75785347914,68855.2029556278,68880.58634168938,68889.95842813951,68879.92473005352,68883.06515014947,68905.8102853072,68918.42188458703,68908.1080446372,68906.49871903643,68926.51470619616,68942.03054213889,68932.2918870797,68925.91567944476,68942.29503778162,68960.10416270545,68952.7265969189,68941.9366648122,68953.41577570626,68972.774621579,68968.49500757396,68955.10035218004,68962.249185115,68982.03643942313,68982.08337808649,68967.12782587144,68969.49487560928,68988.78890142308,68992.95303141509,68977.12203587557,68974.20811345674,68991.04642761307,68998.6326096812,68982.96403681803,68975.03736317603,68989.53097933899,69001.12184895537,68987.84863803965,68976.9447120362,68988.92226683168,69004.17062689907,68994.81940207712,68981.65571470924,68990.73871859773,69008.83469090874,69004.37477283175,68989.44902294264,1.0
69145.61917133561,69138.53366834327,69123.05061495908,69128.39640717464,69145.80320069828,69142.49439746074,69125.16583504269,69125.63149638551,69142.23735239952,69142.86096606981,69124.3485062538,69119.53841084699,69134.6824627736,69139.65572591491,69121.72292133841,69112.71069797405,69126.0308475531,69135.44912760843,69119.68593236039,69106.88732348528,69117.27864948256,69129.95730399575,69117.52153843897,69101.90958999509,69109.01818979003,69124.08550072736,69115.49498027505,69098.05316901841,69101.18613853291,69116.94039308315,69112.62129099625,69093.42263262543,69091.78126952426,69107.62269587789,69108.34912757268,69088.98506629291,69082.89123569624,69097.6337012808,69103.52413100292,69086.01451945477,69076.70203765655,69090.19280555163,69100.71749695748,69086.28944591159,69074.21503355683,69085.22475781736,69099.34808008051,69088.31451395922,69073.32766930194,69081.21112957134,69097.84082744608,69091.24557271546,69074.37373094245,69077.92616819454,69095.22492828665,69093.42412274171,69076.02626991586,69075.45704549037,69092.76325616398,69095.94465445812,69078.65185483119,69073.97139954225,69090.0572049686,69097.76259634049,69081.826547602,69073.33064953453,69087.24014010908,69099.21769490451,69086.0532624785,69073.96394896077,69084.73152932303,69099.68112107289,69090.04900932896,69075.53527659597,69082.8495124399,69099.28773037047,69093.04414308598,69075.57699985229,69077.71308156408,69094.09020472648,69091.77754423353,69072.49096900117,69069.33937303298,69084.41413455179,69086.09722090927,69066.42023520713,69058.39148859878,69071.45533817475,69077.46348708434,69059.60891361344,69048.05306173004,69059.50162524004,69070.05611897183,69055.32557431764,69040.95861803992,69049.62736959785,69063.56293720756,69052.9398981261,69036.72966798897,69042.7907160271,69059.55303425228,69054.3681745968,69037.05376828357,69038.81359563036,69056.01698827946,69056.06094671022,69038.74430522256,69036.92338310757,69054.14912750115,69058.96369325681,69042.13804508901,69036.74754938454,69052.77598533343,69062.70612033676,69048.40547423427,69039.57728023258,69053.51731819121,69067.41786806795,69056.00059700018,69043.81070063241,69054.31304029383,69070.64396985101,69062.89760028095,69048.10819603302,69054.6691780888,69072.52449661787,69069.03762448282,69052.56587893557,69054.44491558612,69071.84351347011,69072.22423818402,69054.01278185997,69050.63394315648,69066.69516166391,69071.4039291625,69053.78926441542,69045.87749193638,69059.75792524313,69068.55929715147,69052.7171257397,69040.91987501619,69051.75972601888,69063.9935808174,69051.27767339679,69036.80119357123,69044.96554076261,69060.549922055,0.0
68827.84814570523,68829.7107910765,68847.18836512425,68848.12341310063,68831.39462249214,68829.99838352183,68847.65477152524,68853.88792799566,68837.86396239567,68831.39611260845,68846.02681947075,68854.98092829954,68838.40785484409,68824.64961107369,68832.68804343797,68841.00736272424,68822.93448721583,68802.34182504915,68803.99883437144,68811.63121004477,68794.46656041939,68769.52052349097,68765.29082838188,68772.39197759534,68758.1799934125,68729.78061196573,68719.64484091339,68725.71557470747,68715.39577429245,68686.0442085319,68670.9448600942,68675.23341479701,68668.72235163717,68639.05190098904,68618.1247077137,68619.00834667782,68616.11230565456,68588.26873758658,68563.75259920985,68562.36306576288,68563.03510821283,68539.31692711316,68513.3225933698,68511.13510264577,68517.23414864947,68500.14549495524,68475.3402740169,68471.67756815882,68481.06530083006,68471.33186117791,68447.07351292056,68440.53041226034,68451.84039495472,68448.42653851825,68426.44955831164,68418.45582943627,68430.78728685227,68433.45534008207,68412.8090337287,68401.21667399604,68412.11538459244,68420.26781085345,68403.94954728478,68390.44760351747,68399.91207717799,68412.15785290691,68399.45610159112,68383.55134529485,68390.27996543406,68405.6855327708,68398.32435826353,68380.75812229609,68383.90524791539,68400.63701875649,68398.53073937066,68381.37801067565,68381.2573112556,68398.3549056476,68401.06691730818,68383.75027582051,68379.85585687826,68396.84914312947,68405.00007927419,68389.60047240263,68381.0881830559,68395.05355299157,68407.66738744584,68395.77923962823,68385.93627642827,68399.08282745871,68416.38978319045,68409.21934356919,68397.42060272938,68407.95647000748,68428.6020313027,68427.75490018784,68416.76156720657,68426.06138301628,68449.98221993235,68456.39568047471,68447.16441001468,68454.68800719835,68480.86860547886,68494.37427453688,68487.30739799827,68492.45947509521,68518.83900390136,68538.69256838471,68534.91512357177,68537.59435267381,68562.69834192972,68586.57373029873,68585.22741022437,68584.39294509805,68606.3185162924,68632.63024480703,68634.03095412624,68629.20446744018,68645.69334932487,68671.92833685021,68675.76240608245,68667.40955917949,68678.09816337802,68703.57468170817,68711.18470563708,68700.97070347914,68705.90820382931,68728.95732271163,68739.4790338849,68727.7786407207,68726.31981686591,68745.86120198504,68758.69631870942,68746.77389821695,68739.82697604026,68755.01945674652,68770.17542960352,68759.93460535225,68748.87943254465,68760.18941523903,68777.27806893324,68770.08751274197,68756.2972314712,68764.02869987828,68783.18936028353,68781.48019689086,68767.10429991536,1.0
68916.81106886997,68933.2977155802,68935.40324990787,68917.31696335279,68912.1075167784,68927.46987074254,68934.33334640662,68917.64404387999,68908.67577894636,68922.12258841068,68932.72998127103,68918.135782258,68905.3051358825,68915.43047612076,68929.04864895923,68917.60381073997,68901.85104630601,68908.2481155691,68923.52180761358,68916.28356770081,68898.70317562854,68901.55227798846,68918.60814912415,68917.03905666339,68899.97126459733,68899.79394075798,68917.70811888076,68922.4928823105,68906.70435508541,68903.23014893892,68920.83289275561,68930.77271351489,68916.84832177739,68909.60412139942,68924.73774251196,68938.44755750267,68926.77100619923,68915.53254908712,68927.02432596975,68942.92908226598,68934.28044727807,68920.00960350152,68927.37673847399,68944.56001455308,68939.11289442932,68922.08459044513,68924.6982544301,68941.94039010293,68941.01949823137,68922.88403783846,68920.40597443652,68936.3524539891,68939.50926536432,68921.0169221183,68913.655747611,68927.45049923068,68934.49353390855,68917.0360764308,68905.35356466216,68916.15839793185,68926.50353032393,68911.61726851668,68896.38082937966,68904.19276406677,68917.75133225338,68907.1558603234,68890.28178337595,68895.41597907734,68911.50923508516,68906.14556147403,68888.51227027325,68890.15288831627,68907.72210451627,68908.51857167704,68891.96412467529,68890.65952785725,68908.60425336412,68915.43345635336,68900.18211605336,68894.94435726933,68911.5621342137,68922.60166080018,68908.73538359825,68899.61661691865,68913.13048161633,68927.12416376166,68916.01087641846,68903.41119806899,68913.31376592086,68929.8391556548,68922.4116709723,68907.34510509313,68913.72503801882,68931.97523736658,68929.51580041835,68913.4560720272,68915.58246798305,68933.72537895743,68935.51575368829,68918.53140813485,68915.6890112983,68932.23526266041,68938.10632087068,68921.45352619333,68913.79134819406,68927.97502016723,68937.26216998843,68921.35145322699,68909.15410627773,68919.94105815186,68932.27400568414,68919.39120523825,68904.43192773247,68912.35562114188,68927.97725534168,68920.52890903103,68904.64203413033,68909.8082673321,68927.99513673726,68926.47149282353,68910.47360425873,68912.21107986105,68930.81220159677,68933.99061965832,68917.29014125947,68913.95526098672,68930.55664665184,68937.23013248802,68920.75838694077,68912.33773974632,68925.58114833607,68935.30192199968,68919.89709972109,68906.83250508696,68916.95933544151,68930.04106641306,68918.28106859699,68903.32030097488,68910.92063914784,68926.87754951448,68919.62664361318,68902.90902887691,68906.58440072351,68923.61642999845,68920.98711979236,68902.6951971883,68901.2624503687,0.0
68782.83024225598,68786.55404288221,68804.25885966526,68803.35584918926,68786.62854869706,68786.56670887074,68804.6403294373,68809.21573152729,68793.53672785005,68790.40673856816,68808.00724721041,68817.69449325732,68803.41396372483,68795.2607924057,68808.92441379123,68820.86769591185,68806.79578266095,68792.48396068621,68800.10739566176,68811.03441846781,68796.2867374762,68775.08983315107,68773.36874882803,68779.96996402383,68764.53235918669,68736.8728204814,68727.81365845366,68732.30561403102,68718.39686851462,68687.34135476842,68671.31738916841,68673.03027785185,68661.39246957212,68628.41396074461,68606.22389390753,68604.51771074744,68596.14847256523,68564.11171723745,68537.36040441517,68532.57340581098,68526.95417725493,68496.40008764269,68465.91677855453,68458.45949154609,68456.8807133294,68431.29020110251,68400.41499142825,68391.65310760176,68393.50457710082,68374.05408907581,68343.0216721322,68331.44346850435,68337.13496770084,68326.96715914813,68299.52666753849,68288.00657844622,68295.62479801473,68292.16102268231,68267.67915698042,68254.08631611899,68262.72750052542,68266.09590841483,68245.63586659858,68229.89502309501,68236.96264469177,68244.97127473012,68228.16872336491,68209.40592401098,68213.3413211514,68223.99788784956,68211.31476298747,68191.03726041761,68191.596054029,68204.18306638993,68196.30184129498,68175.72035500054,68173.74371573253,68188.24180224439,68187.9147217172,68170.78881511553,68168.97534358206,68187.03555310194,68194.84972296352,68180.74204692148,68176.42965035791,68194.41758923739,68208.70035394434,68199.48696487986,68194.69400581048,68212.87565980857,68233.15912284363,68229.32281843697,68223.71253057868,68241.3800944543,68267.02127063528,68270.00969886895,68264.49924880257,68280.17527224723,68308.62904293882,68317.2955593223,68311.62641187028,68323.77905533064,68352.97341382186,68367.03117096797,68361.7852165443,68369.85568640896,68397.6463553484,68416.12975789663,68411.52306336441,68414.60983927369,68439.41058986315,68461.14319099704,68457.45738833636,68455.8666891893,68476.60985310195,68499.30655948003,68496.71450218136,68489.89498494804,68504.60019762519,68527.29690400326,68526.2687237583,68514.47370820923,68522.25062516339,68542.62796552516,68543.09362686797,68527.65676708898,68528.73561128802,68546.65873010858,68550.14411212731,68533.46598547291,68529.42628019168,68545.56945509546,68553.41789763187,68537.48482912596,68528.40778570269,68541.73613092137,68552.79651913601,68538.70597943138,68526.02508974374,68536.4410026599,68550.71259149462,68540.07241607577,68525.23011269928,68532.70006569625,68549.66801997041,68544.4056742675,68528.4726057616,1.0
68760.49935942881,68759.90033267741,68741.28281966243,68737.69536467735,68753.46750062317,68758.02204108502,68740.64132459657,68733.46268933566,68747.94512962642,68757.40066258916,68742.43914990893,68732.01802158571,68744.30850080354,68757.59437770778,68746.47736507386,68733.85086463105,68743.51799410797,68759.86606000259,68752.59876282202,68737.61191816472,68743.64614410952,68761.16097106469,68757.8879306183,68741.26568332502,68742.70811590053,68760.14396669196,68761.75180217644,68744.782357786,68741.86769030902,68758.31335882108,68764.67168506046,68748.52329474966,68741.36179582617,68755.80847332579,68765.92561792441,68751.54972094891,68740.46847110611,68751.95354246539,68765.29231849816,68753.48836225132,68738.85616527274,68746.45650344569,68761.72125479237,68753.79681632482,68737.10602368189,68741.07047809011,68757.9453000957,68755.20572128364,68738.01797485565,68738.32046846396,68755.28171721479,68757.78883788452,68741.14349378865,68737.6454457814,68754.16711022462,68761.57522339525,68746.2493772804,68738.94780742501,68753.4309927739,68765.21557750888,68751.70394798565,68740.28742197603,68751.36569158622,68764.97790395952,68753.46899073946,68737.91217659856,68744.23474004683,68758.98912656176,68750.69066890367,68732.641635256,68734.77101144445,68750.3471970972,68747.16877903567,68728.66078956852,68726.76312646427,68742.35644845443,68744.16842987161,68726.04563546725,68720.75572261283,68736.09050942547,68743.68339701692,68728.26814392426,68720.07399440694,68734.14218236711,68746.17487146554,68733.18180241366,68721.15656389671,68731.65666838367,68745.95582436988,68735.36705796325,68720.33103946816,68727.42175786755,68743.93969702002,68738.30333212655,68722.04839850048,68725.44362848325,68742.90481125172,68742.15975310323,68725.3124982491,68724.58234126358,68741.85129902975,68746.23820140818,68729.48482388078,68724.09879852518,68739.35758940667,68747.66424270441,68732.1729936806,68722.47904211032,68734.76356086296,68746.09217001106,68732.65430124453,68719.49433916739,68729.05120003833,68743.81452725107,68734.86935912006,68720.69909819354,68728.44695787989,68747.00933659189,68744.46198278213,68730.54429656794,68735.75374314233,68755.88446925693,68758.97348034065,68745.16755284875,68746.71205839062,68766.93815194823,68775.39381687567,68762.13550712295,68758.90717016545,68776.63731892554,68788.28034261231,68775.45342152755,68767.5751766652,68782.00695300185,68796.8857642276,68786.6568609067,68775.30962530489,68786.6076870689,68803.89005588175,68797.46243923454,68783.91728209463,68791.42821328976,68809.8207187439,68807.14819516517,68791.47813218572,68793.72299238716,68810.96438300185,0.0
67989.20175304434,67988.56621844367,67994.35904554832,67991.44884842024,67981.60365004583,67979.72386833715,67985.66421695524,67985.34980241656,67975.69682904446,67971.89256213816,67977.30764476155,67979.43627589184,67970.07909060469,67964.31457570966,67968.16429116302,67971.57293219246,67962.59349138661,67954.33228663592,67955.59441513951,67959.10140384453,67949.92452262933,67937.8627762631,67934.27457621988,67935.25358262702,67924.65811069703,67908.09099770676,67899.41107027663,67896.60965163824,67884.75279626284,67864.52819282153,67851.5112819089,67846.79580888698,67835.91795991873,67813.91713785137,67797.61899085272,67790.73614367677,67781.049642688,67759.68957062835,67741.01319801965,67733.36592118334,67726.95842110614,67707.9497525632,67689.3270241412,67680.73650368887,67675.48682397447,67657.72761794658,67636.97774851057,67626.07233239083,67621.60868902311,67606.08316732444,67584.87061677821,67573.1977907655,67569.38085787068,67556.5703280652,67535.44941967122,67522.7394727158,67519.71602674914,67511.52038711552,67492.55865723593,67479.78836057047,67477.92720531549,67474.62212736871,67459.58685393177,67448.98989188552,67450.64019568446,67454.29098061216,67445.85841248732,67438.34599117588,67444.21257903727,67454.79165968797,67452.84556780406,67448.71943577762,67456.1774678442,67471.27011075857,67476.2329430858,67475.81347534817,67485.8829362253,67505.41612570477,67516.8602188659,67519.94550465887,67531.1549045032,67552.32498673497,67569.26760903209,67576.72564109869,67590.52113777651,67614.38609533143,67636.242376118,67647.05913031806,67662.11228515056,67687.91141365904,67713.97354769392,67727.53882140385,67742.1427061728,67767.73023816707,67794.88313733139,67809.2255066902,67821.19337572974,67842.93417250327,67868.08212018994,67880.76151976126,67887.33367768928,67902.55298048891,67923.4548417872,67933.88565586635,67934.65530093377,67942.8315690555,67958.41818552234,67966.34932951322,67962.04587364742,67962.60094196806,67972.288188015,67978.32315901793,67970.85842142801,67965.52306002653,67969.97552752204,67974.57179124019,67966.11985160348,67956.56150061624,67956.80289945635,67959.97759222718,67951.55694503272,67939.45124023572,67936.3547785705,67938.95279633436,67932.78818521359,67920.56625134543,67916.74559315987,67921.26735106319,67918.85634289462,67907.32433287198,67902.17374589131,67906.49955350156,67907.21778955673,67896.87265716467,67890.92113267437,67895.21117749349,67899.28962579842,67891.73324605623,67885.64165063402,67890.66259749682,67898.77181038521,67895.4726929036,67890.76020011427,67896.7519577446,67909.43657272299,67912.73420008829,67911.40576140948,1.0
69631.53641003805,69643.61827297429,69649.62418670945,69643.78367588327,69643.76951977843,69654.32475856837,69661.67177697085,69655.92290829693,69653.07827628593,69661.20164527914,69668.9956985707,69662.4727144805,69655.20690741621,69657.84888361083,69662.8444984966,69654.41342048805,69642.4097886574,69639.81922147503,69641.62375231073,69630.57304985201,69612.75200399781,69603.51402801444,69599.97872709976,69586.20334699196,69562.86067519913,69547.18316163817,69539.36377636956,69524.10275031363,69497.24861946686,69476.23201921368,69464.64785512065,69448.79078254591,69420.05388975788,69395.68378277826,69381.84283755337,69367.32090918077,69339.96237396746,69314.20049836642,69299.22333946507,69286.24442651804,69261.16874947176,69234.71024450188,69219.09904111613,69208.44619970872,69186.76500758708,69160.20964505788,69143.06436694435,69132.79672059973,69114.24700787629,69088.48811250784,69071.14017857793,69062.41554765888,69048.81078586708,69025.20883383857,69008.00991153835,69000.00351667446,68989.55035085087,68967.47874825938,68949.22109833015,68941.0589863132,68933.05184639117,68912.95613800955,68893.95492004811,68884.3891184794,68877.63069601424,68859.68224521664,68839.47477811274,68828.62002594711,68822.71544012017,68807.3694774353,68786.69709404674,68774.41630058485,68768.92149673958,68756.14970995783,68735.33874575363,68721.35921971314,68714.7065955051,68703.5269979867,68682.13637854297,68665.45229142337,68656.68295701541,68645.93251299056,68623.67464586195,68604.13102556838,68593.08628357487,68583.11219014076,68562.08590413166,68541.35764138194,68529.59615344956,68521.35432021074,68503.5392348217,68483.28110376371,68471.50620478466,68465.86685965858,68452.21217897083,68432.95540606443,68421.47629517035,68416.92920528998,68406.50137144343,68388.11184622192,68376.07692194903,68372.3352399272,68365.41961019272,68348.84653673726,68336.81757292956,68333.56241387872,68330.26255133898,68316.1943633788,68304.29354957266,68301.18516697707,68300.5988062142,68289.4959496851,68277.95946931356,68275.02245009212,68276.5162916799,68268.98300874031,68258.2176635525,68255.08841932873,68257.90026878122,68252.86218558099,68240.80118427293,68235.65953799005,68237.84181330704,68234.39070396313,68221.78059479961,68214.86496506514,68215.89016507748,68214.51106244457,68203.04461753901,68195.10527790847,68195.92931222073,68197.29649392326,68187.9281327639,68179.7988033055,68180.9506632031,68185.06338418285,68178.67898090828,68170.92218052414,68171.67319913783,68177.65601607037,68174.29505876244,68166.51292640125,68167.02627146558,68174.8165994664,68175.70321866313,68168.72947439307,68168.35023979547,0.0
